,ingredient,uniq_unit,ชิ้น,ห่อ,ลูก,หัว,ถุง,กระฉอก,ถาด,ยอด,ต้น,ขา,ซอง,ก้อน,เส้น,อัน,บาท,เม็ด,กระป๋อง,ใบ,ใจ,แผ่น,ก้าน,แพ็ค,แท่ง,ท่อน,ผล,แพค,ตัว,ฝัก,มัด,ดอก,กล่อง,ชุด,กิ่ง,พวง,แว่น,อก,แง่ง,ช่อ,นิ้ว,ราก,หลอด,แพ,หม้อ,ซอย,ซีก,น่อง,โครง,ดวง,ขยุ้ม
45,^(?!.*ไข่).*ปลาหมึก.*|^หมึก|หมึกกล้วย,"['', 'ตัวเล็ก', 'ตัวขนาดกลาง', 'ตัวใหญ่', 'ตัว', 'ชิ้น', 'ลูก', 'ชิ้นใหญ่', 'ต้ว', 'kilogram', 'gram', 'hundred_gram', 'cup', 'min', 'avg']",20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,น้ำพริกเผา,"['ซอง', 'กระป๋อง', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,เบคอน,"['', 'แผ่น', 'แผ่นยาว', 'เส้น', 'ชิ้น', 'ห่อ', 'แผ่นอวบๆ', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'cup', 'avg']",26,200,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ไส้กรอก,"['', 'แพ็ค', 'ท่อน', 'ห่อ', 'แท่ง', 'อัน', 'ดุ้น', 'เส้น', 'ชิ้น', 'ถุง', 'ห่อเล็ก', 'แพคเล็ก', 'kilogram', 'gram', 'hundred_gram', 'cup', 'avg']",30,120,0,0,120,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,120,30,30,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0
49,^นม(?!ข้น),"['กล่่อง', 'กล่องเล็ก', 'กล่อง', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'milligram', 'glass', 'bottle', 'oz', 'cup', 'min', 'avg', 'millitre']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,ซอสพริก,"['', 'ซอง', 'ห่อ', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'bottle', 'cup', 'dipper', 'min', 'avg', 'millitre']",0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,วุ้นเส้น|^เส้น$,"['ห่อเล็ก', 'ถุงเล็ก', 'ซอง', '', 'หอ', 'ห่อกลาง', 'ซองเล็ก', 'ต่อถุง', 'ห่อ', 'ถุง', 'gram', 'hand', 'pick', 'cup', 'min', 'avg']",0,40,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,น้ำซุป|น้ำซุบ,"['', 'ชุด', 'ซอง', 'ถุง', 'tea_spoon', 'table_spoon', 'ladle', 'milligram', 'litre', 'oz', 'cup', 'dipper', 'min', 'avg', 'plate', 'millitre']",0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,ผักกาด|ผัดกาดขาว|ผักคอส,"['', 'ใบ', 'ต้น', 'ใบใหญ่', 'หัวเล็ก', 'หัวเล็ก  หัว', 'ก้อน', 'หัว', 'หัวใหญ่', 'ชิ้น', 'กระป๋อง', 'กระป๋องเล็ก', 'kilogram', 'gram', 'hand', 'lobe', 'cup', 'avg']",20,0,0,60,0,0,0,0,60,0,0,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,^กะปิ,"['', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,พริกชี้ฟ้า|พริกเหลือง,"['', 'ดอก', 'ต้น', 'ลูก', 'อัน', 'เม็ด', 'spoon', 'table_spoon', 'gram', 'pick', 'cup', 'min', 'avg']",0,0,20,0,0,0,0,0,20,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,กะทิ|กระทิ,"['', 'กล่องเล็ก', 'กล่อง', 'กระป๋อง', 'tea_spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'milligram', 'litre', 'bottle', 'cup']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,เส้นใหญ่|เส้นไหญ่|^เส้น$,"['', 'แพค', 'ห่อ', 'ถุง', 'kilogram', 'gram', 'hundred_gram', 'pick', 'cup', 'avg']",0,100,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
58,^(?!.*ดอก)กะหล่ำ(?!.*ดอก.*)|กะหล่ำปลี|กระหล่ำปลี,"['', 'ใบ', 'ใข', 'หัวเล็ก', 'ซีกเล็ก', 'หัว', 'หัวใหญ่', 'ชิ้น', 'ลูก', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'cup', 'min', 'avg', 'plate']",50,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
59,ผักบุ้ง,"['', 'มัด', 'ถาด', 'แพ็ก', 'ต้น', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg', 'plate']",0,0,0,0,0,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
60,แฮม,"['แผ่น', 'ชิ้นใหญ่', 'อัน', 'ชิ้น', 'gram', 'avg']",10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,หมูยอ,"['อันเล็ก', 'ท่อน', 'แท่งเล็ก', 'ห่อ', 'แท่ง', 'อัน', 'แถว', 'เส้น', 'แท่งกลาง', 'ก้อนเล็ก', 'ชิ้น', 'ท่อนใบตอง', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'cup', 'avg']",10,100,0,0,0,0,0,0,0,0,0,50,200,20,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,แตงกวา,"['', 'ลูกเล็ก', 'ลูก', 'ผักเครื่องเคียง', 'ผล', 'หัว', 'ลูกใหญ่', 'ชิ้น', 'gram', 'avg']",20,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,กุ้งแห้ง,"['', 'ตัว', 'บาท', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,มิริน,"['', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,น้ำมะขามเปียก|น้ำมะขาวเปียก|น้ำมะขาม,"['', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'cup', 'dipper', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ต้นกระเทียม,"['ต้น', 'gram', 'avg']",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,ถั่วเน่า,"['แผ่น', 'กล่อง', 'table_spoon']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,หญ้าหวาน,"['', 'ซองเล็ก', 'tea_spoon', 'gram', 'avg']",0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ขึ้นฉ่าย|คื่นช่าย|คึ่นช่าย|ขึ้นช่าย|คื่นไช้|คื่นไฉ่|ตั้งโอ๋,"['', 'ราก', 'ท่อน', 'ต้น', 'มัด', 'บาท', 'spoon', 'table_spoon', 'gram', 'hand', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,15,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,20,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
70,มันฝรั่ง,"['', 'ลูก', 'หัวเล็ก', 'หัว', 'หัวใหญ่', 'tea_spoon', 'kilogram', 'gram', 'cup', 'avg']",0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,น้ำส้มสายชู|น้ำส้ม,"['', 'เม็ด', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'bottle', 'lobe', 'cup', 'dipper', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,ใบบัวบก,"['gram', 'min']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,แป้งขนมปัง,['gram'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,ซีรัป,['table_spoon'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,เส้นเฟตตูชินี,"['ปริมาณตามหน้าซองบรรจุ', 'gram', 'hand']",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,ข่า,"['', 'ท่อน', 'แว่น', 'หัวเล็ก', 'แง่ง', 'หัว', 'หัวใหญ่', 'ชิ้น', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'min']",30,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0
77,มาม่า|บะหมี่กึ่งสำเร็จรูป|เส้นหมี่ไวไว|ไวไว|หมี่กึง,"['', 'ห่อเล็ก', 'ซอง', 'ทั้งซอง', 'เส้น', 'ชอง', 'ห่อตามภาพ ต้มได้  คน', 'ก้อน', 'ซอง/กระป๋อง', 'ห่อ', 'table_spoon', 'gram', 'milligram', 'cup', 'avg', 'plate']",0,60,0,0,0,0,0,0,0,0,60,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,น้ำผึ้ง,"['เส้น', 'tea_spoon', 'table_spoon', 'ladle', 'cup', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,^(?!.*ซอส|แป้งทอด).*(คนอร์|รสดี).*|อร่อยชัวร์|ผงปรุงรส|เครื่องปรุงรส|ซุปก้อน|ผงซุปหมูก้อน|ชูรส|ผงซุป|ผงเติมทิพ|ผงดาชิ|ผงปาปริก้า|ดาชิ|ปาปริก้า|เครื่องปรุง|ผงปาปริกา|italian seasoning|ผงนัว|ผงหม่าล่า|ซุปหมูก้อน|ผงหมาล่า|ผงโรยข้าว,"['', 'ชุบไก่', 'ชุด', 'ใส่ไม่ใส่ก็ได้', 'ก้อน', 'ห่อ', 'ซอง', 'กัอน', 'ก้อนเล็ก', 'ซองเล็ก', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'milligram', 'cup', 'min', 'avg']",0,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ซอสเห็ดหอม|ซอสเห็ด หอม,"['', 'tea_spoon', 'spoon', 'table_spoon']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,ไชเท้า,"['', 'ลูก', 'หัวเล็ก', 'หัว', 'หัวกลาง', 'อัน']",0,0,50,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,พริกแกง,"['', 'บาท', 'ห่อ', 'ซองเล็ก', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'hundred_gram', 'cup', 'avg']",0,7,0,0,0,0,0,0,0,0,50,0,0,0,4.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,แป้งข้าวโพด,"['tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'cup', 'min']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,ซีอิ้วดำหวาน|ซีอิ๊วดำหวาน|ซีอิ๊วหวาน|สี่อิ๋วหวาน|สี่อิ๋วดำสูตรหวาน|ซี๊อิ๋วดำหวาน,"['', 'ห่อ', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'cup', 'avg']",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,กุนเชียง,"['', 'แท่งยาว', 'เส้น', 'แท่งเล็ก', 'เส้นยาว', 'ท่อน', 'เส้นกลาง', 'แท่ง', 'ชิ้นโต', 'อัน', 'ชิ้น', 'table_spoon', 'gram', 'cup', 'min', 'avg']",50,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,ข้าวคั่ว,"['tea_spoon', 'spoon', 'table_spoon', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,กวางตุ้ง,"['', 'ต้นใหญ่', 'ก้าน', 'บาท', 'ต้น', 'kilogram', 'gram', 'hand', 'avg']",0,0,0,0,0,0,0,0,10,0,0,0,0,0,66.66666667,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ลูกชิ้น,"['', 'ถุงเล็ก', 'ลูก', 'แพ็ค', 'ไม้', 'ห่อ', 'ชิ้น', 'ถุง', 'kilogram', 'gram', 'hundred_gram', 'cup', 'min', 'avg']",10,100,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
89,ไข่เป็ด,"['', 'ใบ', 'buble']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ปลากระป๋อง,"['กะป๋อง', 'กระปุก', 'กระป๋อง', 'กป.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ผักสลัด,"['', 'ใบ', 'ต้นใหญ่', 'ก้าน', 'ห่อ', 'กอง', 'gram', 'hundred_gram', 'hand', 'cup', 'min', 'avg', 'plate']",0,70,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,^กระดูกหมู$|กระดูกเล้ง|เล้ง,"['เส้น', 'ชิ้น', 'ถุง', 'kilogram', 'gram', 'hundred_gram', 'avg']",30,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ปูอัด,"['', 'แพค', 'ก่อเล็ก', 'แท่ง', 'อัน', 'ชิ้น', 'gram', 'hundred_gram', 'hand', 'avg']",20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
94,เกล็ดขนมปัง|เกร็ดขนมปัง,"['', 'spoon', 'table_spoon', 'gram', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,เส้นโซบะ,"['มัดเล็ก', 'ห่อ', 'gram']",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,น้ำหวานดอกมะพร้าว,['tea_spoon'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,น้ำจิ้มหมูหัน,"['tea_spoon', 'table_spoon']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,ถั่วแระญี่ปุ่น,"['gram', 'cup']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,เต้าหู้ไข่,"['หลอด', 'ก้อน', 'อัน', 'ชิ้น', 'ถุง']",20,0,0,0,50,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
100,ปลาร้า,"['tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'bottle', 'cup', 'dipper', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,^(?!.*น้ำ).*งา.*,"['', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'hundred_gram', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,ถั่วลันเตา|ผักสามสี,"['', 'ถุง', 'ชิ้น', 'ฝัก', 'แพ็กเล็ก', 'spoon', 'kilogram', 'gram', 'hundred_gram', 'cup', 'avg', 'plate']",10,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
103,ถั่วลันเตา,"['', 'ถุง', 'ชิ้น', 'ฝัก', 'แพ็กเล็ก', 'kilogram', 'gram', 'hundred_gram', 'cup', 'avg', 'plate']",10,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
104,กระชาย,"['ก้าน', 'แง่ง', 'หัว', 'บาท', 'แท่ง', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'pick', 'lobe', 'rhizome', 'cup', 'avg']",0,0,0,50,0,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
105,ผงชูรส,"['', 'tea_spoon', 'table_spoon', 'gram', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,ขนมจีน,"['', 'บาท', 'ห่อ', 'ชุด', 'ตะกร้า', 'kilogram', 'gram', 'hand', 'cup', 'avg']",0,60,0,0,0,0,0,0,0,0,0,0,0,0,9.659090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,^(?!.*ผัก).*ชีส.*|Mozzarella cheese,"['', 'แผ่น', 'as desire', 'เส้น', 'กระป๋อง', 'แท่ง', 'ชิ้น', 'ถุง', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'cup', 'min', 'avg']",30,0,0,0,100,0,0,0,0,0,0,0,5,0,0,0,100,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,พริกหยวก|พริกสามสี,"['', 'ดอด', 'ดอก', 'ลูก', 'ผล', 'หัว', 'เม็ด', 'อัน', 'เม็ดใหญ่', 'gram', 'cup', 'min', 'avg']",0,0,50,50,0,0,0,0,0,0,0,0,0,50,0,20,0,0,0,0,0,0,0,0,50,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,เส้นหมี่(?!ซั่ว|ฮกเกี้ยน|เหลือง|ไวไว|หมี่ขาว)|หมี่ขาว|^เส้น$,"['', 'ก้อน', 'ห่อ', 'ซอง', 'ถุง', 'ห่อเล็ก', 'ห่อใหญ่', 'kilogram', 'gram', 'hundred_gram', 'hand', 'cup', 'min', 'avg', 'plate']",0,60,0,0,60,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,มะเขือเปราะ,"['', 'ลูก', 'ผล', 'gram', 'avg']",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,พริกเผา,"['ซอง', 'กระป๋อง', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'milligram', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,ซี่โครงหมู,"['แผ่น', 'เส้น', 'ชิ้นใหญ่', 'ชิ้น', 'kilogram', 'gram', 'hundred_gram']",200,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,เหล้า|สาเก,"['tea_spoon', 'spoon', 'table_spoon', 'cup', 'lid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
